time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc
2022,Week 37,Local authority,E92000001,England,E12000007,London,E09000025,Newham,316,Primary,56,22124.8,197812,199453,1641,13114,5609,7505,2163,212567,96962,98863,195825,1987,4450,434,0,0,0,34,14,604,773,54,173,0,695,0,2376,176,4388,565,73,68,34195,93.83065104,6.169348958,2.638697446,3.530651512,2.093457592,0.20417092,1.117765222,2.064290318,0.082797424,0.265798548,0,0,0,0.015994957,0.006586159,0.284145705,0.034342113
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000042,Milton Keynes,826,Primary,67.2,17561.2,162536,163692,1156,7755,5745,2010,1191,171447,80300,81150,161450,1086,4016,358,0,0,0,28,23,1261,408,146,0,3,745,0,686,105,827,392,59,89,27205,95.47673625,4.523263749,3.350889779,1.17237397,2.342414857,0.208810886,0.400123653,0.482364812,0.061243416,0.228642088,0,0,0,0.016331578,0.013415225,0.735504267,0.034412967
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Primary,350.6,64296.2,587603,589968,2365,24879,17449,7430,4785,614847,292775,290587,583362,4241,13708,1353,4,0,256,412,94,1483,264,456,0,106,1995,0,3733,544,2592,561,139,481,99581,95.95362749,4.046372512,2.837941797,1.208430715,2.229497745,0.220054745,0.607142915,0.421568293,0.088477296,0.091242211,0.000650568,0,0.041636375,0.06700854,0.015288356,0.241198217,0.02260725
2022,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,Primary,135,38993.6,360865,361979,1114,18993,10703,8290,4350,380972,177039,179781,356820,4045,8511,800,34,0,8,126,50,1120,146,24,0,10,958,0,4451,305,3203,331,54,156,56423,95.01459425,4.985405752,2.809392816,2.176012935,2.234022448,0.209989186,1.168327331,0.840744202,0.080058377,0.086883026,0.00892454,0,0.002099892,0.033073297,0.013124324,0.29398486,0.01417427
2022,Week 37,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Primary,115.8,26236,247844,248458,614,10686,6928,3758,1680,259144,122715,123693,246408,1436,5592,520,0,0,0,106,44,646,145,110,0,196,273,0,1557,244,1872,85,20,142,37361,95.87642392,4.123576081,2.673417096,1.450158985,2.157873615,0.200660637,0.600824252,0.722378292,0.094156145,0.032800296,0,0,0,0.040903899,0.016978977,0.249282252,0.007717717
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Primary,84,20040.4,188288,188955,667,8413,5848,2565,1597,197368,92749,94092,186841,1447,4715,419,1,0,0,220,33,422,126,269,0,5,536,0,1282,150,865,268,38,90,27052,95.73740424,4.26259576,2.962992988,1.299602772,2.38893843,0.212293786,0.649548052,0.438267602,0.076000162,0.135786956,0.000506668,0,0,0.111466904,0.016720036,0.213813789,0.019253374
2022,Week 37,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Primary,140,24050.2,224399,225729,1330,10542,6848,3694,1275,236271,111349,111924,223273,1126,5509,498,0,0,42,228,51,457,108,95,0,33,1189,0,2208,149,1066,271,63,211,39113,95.53817438,4.461825616,2.898366706,1.563458909,2.331644595,0.210774915,0.934520106,0.451176827,0.063063177,0.114698799,0,0,0.017776198,0.096499359,0.021585383,0.19342196,0.026664297
2022,Week 37,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Primary,37,10428.6,95039,96420,1381,5571,2815,2756,1273,101991,46683,47134,93817,1222,2408,150,2,0,0,29,4,215,50,119,0,559,772,0,1290,51,1368,47,7,41,15910,94.53775333,5.462246669,2.760047455,2.702199214,2.360992637,0.1470718,1.264817484,1.34129482,0.050004412,0.046082497,0.001960957,0,0,0.028433881,0.003921915,0.210802914,0.006863351
2022,Week 37,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Primary,125.6,27085.4,249812,250197,385,10155,7868,2287,1795,260352,123567,124666,248233,1579,6360,528,6,2,31,60,21,792,56,83,4,77,248,0,698,216,1059,314,68,185,44383,96.09951143,3.900488569,3.022062439,0.878426131,2.442846608,0.20280236,0.268098574,0.406757006,0.082964602,0.120605949,0.002304572,0.000768191,0.011906957,0.023045723,0.008066003,0.30420354,0.026118486
2022,Week 37,Local authority,E92000001,England,E12000002,North West,E06000006,Halton,876,Primary,40,7534.4,69658,70427,769,3104,2139,965,529,73531,34411,34766,69177,481,1730,135,0,0,6,110,4,154,35,112,0,0,734,0,464,48,449,4,0,49,10367,95.77865118,4.221348819,2.908977166,1.312371653,2.352749181,0.183596034,0.63102637,0.61062681,0.06527859,0.005439882,0,0,0.008159824,0.149596769,0.005439882,0.209435476,0
